AOI,Plot_ID,Species,Grazing value,total_AGB (g),AGB,Mean_Canopy_Height(m),B1,B2,B3,B4,B5,NDVI,EVI,OSAVI,TDVI,GDVI,grazing_value
2,S2P30,S.uniplumis,Average,109.59,320.4385965,0.047119942,25604.47852,23939.30273,21769.82617,24437.19141,24847.9375,0.070370749,-0.409679919,0.07037048,0.177578434,908.6340332,494.63
3,S3P01,S.uniplumis,Average,72.17,211.0233918,0.30166927,26370.1875,24663.32617,21979.88867,25626.29102,27074.27344,0.119315751,0.766345382,0.119315274,0.305278778,2410.946777,426.69
3,S3P02,S.uniplumis,Average,81.48,238.245614,0.008997109,31176.32422,29157.15234,24741.06055,29174.21875,30484.31641,0.122158304,-0.082584307,0.122157834,0.287362128,1327.164673,421.36
3,S3P03,S.ciliata,High,93.29,272.7777778,0.090195157,24014.99219,21237.69922,19296.83789,19703.63867,20545.08398,0.036050763,0.355160028,0.036050584,0.076175265,-692.6140137,653.03
3,S3P04,S.uniplumis,Average,22.15,64.76608187,0.008128639,40505.35156,37808.35938,35319.42578,36051.56641,36904.08203,0.024026567,-0.059494264,0.024026504,0.051713269,-904.2775879,128.03
3,S3P05,E.pallens,Low,91.04,266.1988304,0.122959428,24972.9375,22583.99805,17356.28906,24055.16797,28186.0625,0.233292311,-0.623044372,0.233291447,0.543323219,5602.061523,228.52
3,S3P06,S.uniplumis,Average,45.04,131.6959064,0.050071664,30390.63281,27306.51172,24947.92188,26063.81836,25209.40039,0.00978388,-0.069240667,0.009783828,0.020816168,-2097.114258,225.2
3,S3P07,S.ciliata,High,113.07,330.6140351,0.04740525,24351.99609,24772.97852,19546.05078,27085.78906,29800.63672,0.211215958,-0.844326675,0.211215213,0.503687263,5027.65625,791.49
3,S3P08,S.uniplumis,Average,78.87,230.6140351,0.036811404,28080.60352,25032.01172,22249.60352,26159.3125,27716.51367,0.121698052,5.067526817,0.121697582,0.294709295,2684.502441,394.35
3,S3P09,S.uniplumis,Average,37.86,110.7017544,0.008033516,31444.76758,29813.69531,27056.38477,30943.99023,32999.76953,0.111718349,-0.584972918,0.111717984,0.287239939,3186.072998,189.3
