AOI,Plot_ID,Easting_m,Northing_m,Species,Value,total_AGB (g),AGB_g_m_2,Mean_Canopy_Height_m,B1,B2,B3,B4,B5,NDVI,EVI,OSAVI,TDVI,GDVI,TCARI,MCARI,NDRE,GCI,grazing_value
2,S2P26,522475.1313,7339137.191,T.terrestris,1,40.7,119.005848,0.008574249,24934.13281,25272.84961,23355.58203,32214.15625,32265.20117,0.162979782,-9.269069672,0.162979275,0.374024689,6992.352539,25372.91016,14718.5791,0.001696266,0.363481402,119.0058479
2,S2P27,522466.4233,7339127.219,S.uniplumis,2,87.18,254.9122807,0.012195224,27862.66992,23429.5957,23727.07031,29126.80469,29561.13867,0.122353144,-0.978879333,0.122352712,0.283963978,6131.544434,16647.86328,8543.541992,0.010105246,0.323839068,1208.245614
2,S2P28,522461.3854,7339134.116,S.uniplumis,2,40.9,119.5906433,0.021606976,25820.73633,26540.90234,22914.69922,31429.19141,32803.89453,0.190505102,-0.47726509,0.190504491,0.442801416,6262.992188,28493.20703,16769.66797,0.022865025,0.292289317,499.2397661
2,S2P29,522433.4846,7339132.826,S.kalihariensis,1,29.36,85.84795322,0.012509793,31322.69141,31397.73047,26782.73633,35559.35938,36774.92969,0.173818111,-0.259400636,0.17381762,0.390134484,5377.197754,28669.49219,18220.92383,0.017685549,0.236973256,85.84795322
2,S2P30,522455.6251,7339143.822,S.uniplumis,2,109.59,320.4385965,0.047119942,25604.47852,23939.30273,21769.82617,24437.19141,24847.9375,0.070370749,-0.409679919,0.07037048,0.177578434,908.6340332,9036.125,4192.874512,0.010326853,0.061149165,1446.28655
3,S3P01,520753.4115,7349970.441,S.uniplumis,2,72.17,211.0233918,0.30166927,26370.1875,24663.32617,21979.88867,25626.29102,27074.27344,0.119315751,0.766345382,0.119315274,0.305278778,2410.946777,14989.71777,6522.865234,0.031357266,0.148160458,1247.631579
3,S3P02,520757.0541,7349979.749,S.uniplumis,2,81.48,238.245614,0.008997109,31176.32422,29157.15234,24741.06055,29174.21875,30484.31641,0.122158304,-0.082584307,0.122157834,0.287362128,1327.164673,16786.23438,9255.916016,0.024526682,0.094543092,1232.046784
3,S3P03,520769.0664,7349939.418,S.ciliata,3,93.29,272.7777778,0.090195157,24014.99219,21237.69922,19296.83789,19703.63867,20545.08398,0.036050763,0.355160028,0.036050584,0.076175265,-692.6140137,3573.473389,2236.322998,0.019345909,0.006217973,1909.444445
3,S3P04,520763.833,7349969.052,S.uniplumis,2,22.15,64.76608187,0.008128639,40505.35156,37808.35938,35319.42578,36051.56641,36904.08203,0.024026567,-0.059494264,0.024026504,0.051713269,-904.2775879,4506.392578,2519.317383,0.012211134,-4.99E-04,374.3567251
3,S3P05,520771.244,7349977.634,E.pallens,1,91.04,266.1988304,0.122959428,24972.9375,22583.99805,17356.28906,24055.16797,28186.0625,0.233292311,-0.623044372,0.233291447,0.543323219,5602.061523,31409.75,18439.70313,0.077116288,0.271847874,668.1871344
3,S3P06,520759.0652,7349980.883,S.uniplumis,2,45.04,131.6959064,0.050071664,30390.63281,27306.51172,24947.92188,26063.81836,25209.40039,0.00978388,-0.069240667,0.009783828,0.020816168,-2097.114258,726.8425293,935.520752,-0.015214065,-0.06040382,658.479532
3,S3P07,520774.2106,7349975.391,S.ciliata,3,113.07,330.6140351,0.04740525,24351.99609,24772.97852,19546.05078,27085.78906,29800.63672,0.211215958,-0.844326675,0.211215213,0.503687263,5027.65625,29909.92773,16314.39746,0.048048332,0.233710036,2314.298246
3,S3P08,520736.371,7349981.108,S.uniplumis,2,78.87,230.6140351,0.036811404,28080.60352,25032.01172,22249.60352,26159.3125,27716.51367,0.121698052,5.067526817,0.121697582,0.294709295,2684.502441,15905.36914,7841.191406,0.031173896,0.162885591,1153.070176
3,S3P09,520760.7265,7349935.811,S.uniplumis,2,37.86,110.7017544,0.008033516,31444.76758,29813.69531,27056.38477,30943.99023,32999.76953,0.111718349,-0.584972918,0.111717984,0.287239939,3186.072998,17491.44336,7433.960449,0.034599975,0.1446435,553.508772
3,S3P10,520768.5888,7349978.505,S.ciliata,3,149.24,436.374269,0.132008538,23129.44141,22560.61523,21435.56836,23673.18164,24490.6875,0.066728488,0.178275779,0.066728242,0.17686902,1930.072021,8995.207031,3531.95752,0.017385034,0.104013421,2986.081872
3,S3P11,520748.6144,7349965.528,S.pappophoroides,3,88.98,260.1754386,0.071152821,26873.36914,25346.29102,21992.31055,27215.06641,28836.60547,0.145271033,-1.243007421,0.145270482,0.360615969,3490.313232,20023.94141,9500.69043,0.032221857,0.180528611,1731.988304
3,S3P12,520770.8864,7349978.698,E.pallens,1,135.94,397.4853801,0.024889154,22750.16602,20277.13086,16724.62891,21564.73047,24456.51953,0.187523142,-0.856662631,0.187522337,0.437950194,4179.386719,22330.20703,12407,0.066411585,0.259108096,397.4853801
3,S3P13,520759.2916,7349939.744,S.ciliata,3,188.46,551.0526316,0.146945342,22364.02148,20294.85352,18298.50586,19847.20898,20664.46484,0.070175655,-0.641226351,0.070175283,0.182963178,369.6118774,7005.129883,3084.429443,0.025328485,0.037770499,3594.385965
3,S3P14,520734.6014,7349959.087,S.uniplumis,2,229.93,672.3099415,0.255726308,16959.60742,17593.26563,13350.3584,25391.1543,31080.0957,0.417770624,-0.443746686,0.417768985,0.865239263,13486.8291,49622.48828,41440.39844,0.104283698,0.870477557,3361.549708
3,S3P15,520774.9769,7349938.226,S.uniplumis,2,189.88,555.2046784,0.221044704,17511.33594,15948.92578,13258.71777,17126.58789,18872.31836,0.208878458,0.079208873,0.208877102,0.469982713,2923.393555,16117.30469,10580.57324,0.052510619,0.295731157,2776.023392
3,S3P16,520747.7294,7349974.77,S.uniplumis,2,137.53,402.1345029,0.067116022,22888.86719,22967.14453,19698.09766,28696.75781,31482.49805,0.247156084,-2.874533892,0.24715519,0.574160397,8515.353516,33913.50391,18691.16992,0.050770156,0.417904437,2010.672515
3,S3P17,520763.0324,7349972.691,S.ciliata,3,109.83,321.1403509,0.10019774,26920.28711,24357.08008,21647.36328,22900.84961,23624.17188,0.052277561,0.080172151,0.052277334,0.110971279,-732.9073486,5594.285645,3545.622314,0.017628852,0.021860437,1951.666666
3,S3P18,520781.2863,7349974.412,S.uniplumis,2,7.94,23.21637427,0.022376878,43228.69531,41853.51953,40305.07813,41452.40625,41437.03516,0.015993934,-0.208277166,0.015993897,0.041647628,-416.4829407,3315.74585,1605.09082,8.10E-04,1.97E-04,70.2339181
3,S3P19,520756.598,7349978.811,S.pappophoroides,3,16.34,47.77777778,0.016533133,41249.20703,36876.03906,33990.04688,34390.86328,32369.46094,-0.020466471,0.08278922,-0.020466432,-0.077387825,-4506.577148,-5042.364746,-218.6723633,-0.027928621,-0.112190209,334.4444445
3,S3P20,520759.753,7349979.551,S.pappophoroides,3,131.64,384.9122807,0.179439649,28614.81641,26350.14258,22977.79492,26208.19922,26396.26367,0.079220392,0.870703399,0.079220071,0.210790694,46.12041092,10176.3291,4385.856934,0.006471643,0.025744896,2694.385965
3,S3P21,520761.9298,7349956.679,S.uniplumis,2,192.53,562.9532164,0.087391146,30934.74023,26155.57422,23307.30273,23293.24023,24056.94727,0.019837832,-0.062223207,0.019837741,0.038859759,-2098.628662,2128.654541,1777.822144,0.016504182,-0.0616997,2814.766082
3,S3P22,520757.5405,7349942.502,S.pappophoroides,3,68.82,201.2280702,0.051079772,28949.45313,27237.96484,24193.33008,27645.04688,29276.07617,0.10482353,-1.875052571,0.104823165,0.261883438,2038.109009,14932.86816,6894.692383,0.032414071,0.109876096,1361.28655
3,S3P23,520755.7613,7349949.689,S.uniplumis,2,78.97,230.9064327,0.016503988,31750.73633,30872.80273,26575.53516,32952.79688,35569.00781,0.162962601,0.163245052,0.162962094,0.392588943,4696.20459,26235.02344,13385.78027,0.038688652,0.211882532,1154.532164
3,S3P24,520751.4629,7349965.339,S.ciliata,3,119.65,349.8538012,0.098508134,37523.89844,36550.34766,34340.68359,33304.39063,35350.46094,0.017704349,0.280040354,0.017704282,0.034903713,-1199.887817,2854.904541,1824.213135,0.035226818,-0.020030992,2448.976608
3,S3P25,520769.772,7349962.295,S.ciliata,3,88.67,259.2690058,0.023378871,27690.72656,24940.88086,22432.81641,24455.79883,26559.40625,0.090430275,-0.989995658,0.090429932,0.21822083,1618.524536,12024.91016,5800.040527,0.043681383,0.107184567,1465.05848
3,S3P26,520765.2097,7349979.048,S.ciliata,3,98.88,289.122807,0.047065649,34623.76172,31719.89648,29662.20313,30295.73242,30147.52344,0.011823738,0.563257694,0.01182369,0.022758627,-1572.372314,1390.078857,1138.809204,-0.001987644,-0.037015133,1927.719298
3,S3P27,520773.535,7349931.776,S.uniplumis,2,33.76,98.71345029,0.009836124,34664.70703,34023.21875,32505.20898,34641.25391,35207.49609,0.047254719,-0.192124695,0.047254574,0.127504349,1184.280396,7993.910645,3062.406006,0.010535705,0.057283774,480.5847953
3,S3P28,520775.9024,7349970.344,S.pappophoroides,3,100.28,293.2163743,0.113346972,22023.48242,21445.22266,17762.16992,21464.88281,24352.91602,0.158958972,-1.300595999,0.158958286,0.377545953,2907.693604,19192.04688,10293.26465,0.065220676,0.18665117,2052.51462
3,S3P29,520773.9095,7349944.495,S.kalihariensis,1,27.54,80.52631579,0.096569069,23887.18945,21089.78125,18001.47852,20994.62695,23052.46094,0.124999009,-3.127613783,0.124998443,0.316489369,1962.678101,14837.79297,7019.493164,0.049048051,0.11575713,276.4912281
3,S3P30,520755.1252,7349962.957,S.pappophoroides,3,170.57,498.7426901,0.011109891,31632.51367,28187.68945,25371.67969,25848.98242,26769.54102,0.030767344,-0.573877275,0.030767221,0.085267417,-1418.146729,4163.508301,1902.888184,0.017884042,-0.034235202,3257.105263
